trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
299,False,"{'a': 0.5, 'e': 0.22340924607110246}",20,9,-19.80687697146849,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 0.5, 'e': 0.22229219984074694}",30,0,-22.88650959437701,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.2211807388415432}",20,0,17.7099109653078,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.2200748351473355}",20,0,21.296638188338907,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.2189744609715988}",20,10,-14.37962615663694,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.21787958866674081}",25,15,-24.369221852970085,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
305,False,"{'a': 0.5, 'e': 0.2167901907234071}",25,3,30.94580495217172,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.2157062397697901}",25,13,21.64678607794488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.21462770857094113}",20,2,9.111441979214044,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.21355457002808642}",20,6,7.79124599599042,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.212486797177946}",30,18,5.4537171290724356,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.21142436319205626}",20,3,7.881116075004838,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.21036724137609597}",25,13,25.612795751769347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.20931540516921548}",30,9,4.109020961506012,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.20826882814336942}",20,2,14.019648370220999,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.20722748400265256}",25,13,18.37250695418547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.2061913465826393}",25,15,16.882298038311554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.20516038984972612}",25,19,8.894403817274409,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.20413458790047748}",25,3,-5.193467025892949,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
318,False,"{'a': 0.5, 'e': 0.20311391496097508}",25,18,13.275556212611486,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.20209834538617022}",20,0,-7.6824342897567055,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
320,False,"{'a': 0.5, 'e': 0.20108785365923937}",20,3,-56.24766506942563,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
321,False,"{'a': 0.5, 'e': 0.20008241439094315}",30,13,-3.5685509112430642,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.19908200231898845}",20,5,14.882327034964366,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.1980865923073935}",25,3,-18.596296713635045,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
324,False,"{'a': 0.5, 'e': 0.19709615934585653}",25,20,9.824549780344043,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.19611067854912725}",25,15,17.904245445567955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.19513012515638162}",25,16,-7.5823582689559945,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.1941544745305997}",25,15,11.6592182150947,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.1931837021579467}",25,0,-8.771543828860882,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
329,False,"{'a': 0.5, 'e': 0.19221778364715697}",30,16,17.458099927354404,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.19125669472892118}",20,12,15.881524468195973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.19030041125527658}",25,12,23.38520959334714,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.1893489091990002}",25,19,10.965944500776516,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.1884021646530052}",20,11,-24.618624081558053,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
334,False,"{'a': 0.5, 'e': 0.18746015382974016}",20,4,8.078361853836386,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.18652285306059146}",25,0,36.86319207015332,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
336,False,"{'a': 0.5, 'e': 0.18559023879528852}",25,0,34.245318242387505,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
337,False,"{'a': 0.5, 'e': 0.18466228760131206}",20,6,-15.58584477213533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
338,False,"{'a': 0.5, 'e': 0.1837389761633055}",20,16,7.662452856800996,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.18282028128248898}",25,14,22.491189095219053,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.18190617987607652}",35,15,-2.1431931350666757,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.18099664897669615}",20,11,-1.0506839702300772,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.18009166573181265}",20,2,-15.301055211861605,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.1791912074031536}",20,0,-21.07778409227184,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
344,False,"{'a': 0.5, 'e': 0.17829525136613783}",20,3,11.483433346971486,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.17740377510930713}",25,0,27.398670020300944,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
346,False,"{'a': 0.5, 'e': 0.1765167562337606}",20,11,18.688998120415103,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.1756341724525918}",20,10,17.122796011272587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.17475600159032884}",20,8,23.619523775481877,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.1738822215823772}",20,10,4.499934404594924,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.17301281047446532}",25,11,28.233525428229836,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.172147746422093}",25,7,11.923984266771045,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.1712870076899825}",20,10,16.27049474556434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.1704305726515326}",30,18,14.714847615817297,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.16957841978827493}",20,8,22.11905727025315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.16873052768933355}",30,12,25.990118473526913,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.1678868750508869}",20,0,-30.142034555234243,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
357,False,"{'a': 0.5, 'e': 0.16704744067563246}",20,0,4.106217605312652,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
358,False,"{'a': 0.5, 'e': 0.1662122034722543}",25,3,-48.04058964541067,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
359,False,"{'a': 0.5, 'e': 0.16538114245489302}",30,1,12.76901529827518,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 0}",1
360,False,"{'a': 0.5, 'e': 0.16455423674261857}",20,16,7.534672694860798,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.16373146555890547}",20,12,13.034276764391027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.16291280823111093}",20,12,16.325800713275385,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.1620982441899554}",20,9,7.910332335456271,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.1612877529690056}",20,15,8.551726442626808,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.5, 'e': 0.16048131420416056}",25,8,-36.10898273461815,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
366,False,"{'a': 0.5, 'e': 0.15967890763313977}",25,11,15.586054711133961,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.5, 'e': 0.15888051309497409}",30,13,-17.475665433864705,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
368,False,"{'a': 0.5, 'e': 0.1580861105294992}",20,4,16.955972536321962,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.1572956799768517}",20,0,23.672236569427064,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
370,False,"{'a': 0.5, 'e': 0.15650920157696743}",20,8,22.321931744079723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.5, 'e': 0.1557266555690826}",20,4,8.0314240523958,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
372,False,"{'a': 0.5, 'e': 0.1549480222912372}",30,12,23.012151369397618,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
373,False,"{'a': 0.5, 'e': 0.15417328217978102}",20,9,9.710287129680939,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
374,False,"{'a': 0.5, 'e': 0.1534024157688821}",20,16,8.277626311476503,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.5, 'e': 0.1526354036900377}",30,10,-17.245965823788236,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
376,False,"{'a': 0.5, 'e': 0.1518722266715875}",25,17,11.619596388489597,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.5, 'e': 0.15111286553822956}",20,14,-3.008481323497457,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.5, 'e': 0.15035730121053842}",25,3,18.825323083754984,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.14960551470448571}",20,10,12.375361888242432,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.5, 'e': 0.14885748713096328}",20,16,5.998339608075625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.5, 'e': 0.14811319969530848}",25,10,15.42517168795677,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
382,False,"{'a': 0.5, 'e': 0.14737263369683193}",35,23,11.824245627941055,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
383,False,"{'a': 0.5, 'e': 0.14663577052834778}",20,12,13.932311206734681,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.5, 'e': 0.14590259167570604}",25,17,15.968684019081387,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.5, 'e': 0.14517307871732751}",25,7,14.63519794234478,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
386,False,"{'a': 0.5, 'e': 0.14444721332374086}",20,0,-21.981049416116267,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
387,False,"{'a': 0.5, 'e': 0.14372497725712216}",25,12,23.582444109621285,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.5, 'e': 0.14300635237083656}",20,15,9.484683577239988,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.5, 'e': 0.14229132060898236}",30,13,25.337550153963363,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.5, 'e': 0.14157986400593744}",20,6,15.353331380555385,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
391,False,"{'a': 0.5, 'e': 0.14087196468590776}",25,11,-12.41025583269706,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
392,False,"{'a': 0.5, 'e': 0.14016760486247823}",25,8,10.353411819275832,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.13946676683816583}",20,4,15.422261027071631,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.5, 'e': 0.138769433003975}",25,15,17.27835929313475,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.5, 'e': 0.13807558583895513}",20,10,13.215618230644889,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.5, 'e': 0.13738520790976036}",25,17,16.716116519732733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.5, 'e': 0.13669828187021155}",25,16,15.903270426013794,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.5, 'e': 0.13601479046086049}",25,6,-34.99286680889243,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
399,False,"{'a': 0.5, 'e': 0.1353347165085562}",25,6,28.05357096868217,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.1346580429260134}",20,15,9.100081616095151,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.13398475271138333}",25,0,39.5406819871827,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
402,False,"{'a': 0.5, 'e': 0.13331482894782642}",20,3,16.807815559161327,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.13264825480308728}",20,8,7.164235724415602,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
404,False,"{'a': 0.5, 'e': 0.13198501352907185}",30,0,38.840209818553646,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
